Time,ECG Lead1,ECG Lead2,ECG Lead 3,BP1,Heart Beat,Temp 
338,0.382176521,-0.041390728,1.288135593,-0.530888031,0.007049561,98.62642268
340,0.369323051,-0.024834437,1.285459411,-0.530888031,0.001983643,98.62515898
342,0.349614396,-0.014900662,1.301516503,-0.530888031,-0.003814697,98.62168209
344,0.364181662,0.014900662,1.300624442,-0.627413127,-0.001983643,98.6202047
346,0.373607541,0.033112583,1.296164139,-0.530888031,-0.005340576,98.62165568
348,0.358183376,0.037251656,1.308652988,-0.579150579,-0.000549316,98.62597504
350,0.362467866,0.065397351,1.307760928,-0.530888031,0.001525879,98.62190825
352,0.379605827,0.081125828,1.31132917,-0.482625483,-0.000183105,98.62429603
354,0.344473008,0.090231788,1.316681534,-0.627413127,-0.000183105,98.61984871
356,0.365895458,0.101821192,1.322033898,-0.530888031,-0.00100708,98.62242029
358,0.376178235,0.114238411,1.316681534,-0.386100386,0.000183105,98.62205518
360,0.351328192,0.11589404,1.32381802,-0.579150579,0.006103516,98.61750523
362,0.371893745,0.125,1.321141838,-0.386100386,0.004638672,98.62092552
364,0.371893745,0.14486755,1.319357716,-0.434362934,0.002746582,98.61757264
366,0.347043702,0.143211921,1.322925959,-0.530888031,0.000762939,98.61372338
368,0.366752356,0.151490066,1.329170384,-0.434362934,0.002166748,98.61143899
370,0.384747215,0.149834437,1.31132917,-0.530888031,-0.001312256,98.60958285
372,0.348757498,0.153145695,1.320249777,-0.482625483,0.003692627,98.61064375
374,0.372750643,0.157284768,1.325602141,-0.482625483,-0.000823975,98.61241841
376,0.383890317,0.166390728,1.318465656,-0.434362934,0.001525879,98.61729484
378,0.367609254,0.163907285,1.327386262,-0.482625483,0.001708984,98.62222744
380,0.382176521,0.167218543,1.32471008,-0.482625483,0.002929688,98.62480281
382,0.391602399,0.166390728,1.319357716,-0.434362934,-6.10352E-05,98.6225534
384,0.378748929,0.161423841,1.32381802,-0.482625483,0.002929688,98.62709354
386,0.384747215,0.177152318,1.32471008,-0.434362934,0.00112915,98.62620436
388,0.383033419,0.177152318,1.319357716,-0.434362934,0.001525879,98.6233706
390,0.387317909,0.179635762,1.315789474,-0.530888031,0.000823975,98.6246619
392,0.375321337,0.184602649,1.320249777,-0.482625483,0.001220703,98.61981059
394,0.405312768,0.199503311,1.314005352,-0.530888031,0.003601074,98.61524359
396,0.381319623,0.193708609,1.316681534,-0.482625483,0.007324219,98.61204621
398,0.40017138,0.206953642,1.315789474,-0.482625483,0.001983643,98.60905086
400,0.424164524,0.218543046,1.31132917,-0.434362934,-0.000823975,98.61124443
402,0.386461011,0.213576159,1.315789474,-0.482625483,6.10352E-05,98.61067311
404,0.389031705,0.216887417,1.315789474,-0.482625483,0.004577637,98.61412804
406,0.425021422,0.219370861,1.305084746,-0.482625483,0.003997803,98.61302594
408,0.398457584,0.219370861,1.314897413,-0.434362934,0.001525879,98.61640146
410,0.40017138,0.222682119,1.322925959,-0.482625483,-0.002075195,98.61888565
412,0.424164524,0.229304636,1.313113292,-0.482625483,-0.00189209,98.61972426
414,0.413881748,0.224337748,1.314005352,-0.482625483,0.000457764,98.61632999
416,0.402742074,0.213576159,1.319357716,-0.530888031,0.002288818,98.61661839
418,0.426735219,0.224337748,1.313113292,-0.434362934,0.00100708,98.6162451
420,0.395886889,0.224337748,1.317573595,-0.530888031,0.006164551,98.61504054
